nodegoat ID,Name,Passage: start,Passage: start ID,Passage: end,Passage: end ID,Subject,Subject ID,Verb,Verb ID,Direct Object,Direct Object ID,Indirect Object (to/for),Indirect Object (to/for) ID,in/on/at,in/on/at ID,near ID,from,from ID,to (motion),to (motion) ID,Uncertainty expressed,Dispute expressed
ngMi2T576NSfxLikeNV95Yyj,Apollodorus Epitome 1.1 Theseus kills Phaia,Apollodorus Epitome 1.1,8187570,,,Theseus,8188822,kills,8188672,Phaia,8187571,,,Crommyon,8188810,,,,,,no,no
ngNj2U677NTg8MjJfN80wZzA,"Apollodorus Epitome 1.1 Phaia is daughter of Echidna, Typhon",Apollodorus Epitome 1.1,8187570,,,Phaia,8187571,is daughter of,8188650,Echidna,8188202,,,,,,,,,,no,no
ngNj2U677NTg8MjJfN80wZzA,"Apollodorus Epitome 1.1 Phaia is daughter of Echidna, Typhon",Apollodorus Epitome 1.1,8187570,,,Phaia,8187571,is daughter of,8188650,Typhon,8188824,,,,,,,,,,no,no
ngPl2W879Pbi9OlBhOI2yBbA,Apollodorus Epitome 1.1 Phaia raises Phaia,Apollodorus Epitome 1.1,8187570,,,Phaia,8187572,raises,8188827,Phaia,8187571,,,,,,,,,,no,no
ngQm2X970Pmj0PmoiQZ3cCcf,Apollodorus Epitome 1.1 names Phaia,Apollodorus Epitome 1.1,8187570,,,,,names,8188693,Phaia,8187571,,,,,,,,,,no,no
ngRn3Y071RHkcQnDjSK4bDdg,Apollodorus Epitome 1.2 Theseus kills Sceiron,Apollodorus Epitome 1.2,8188807,Apollodorus Epitome 1.3,8188808,Theseus,8188822,kills,8188672,Sceiron,8188823,,,Sceironian Cliffs,8188811,,,,,,no,no
ngTp3A273SJm6SpjlT46dFfA,Apollodorus Epitome 1.2 Sceiron is son of Pelops,Apollodorus Epitome 1.2,8188807,,,Sceiron,8188823,is son of,8188649,Pelops,8188831,,,,,,,,,,no,yes
ngUq3B374TAnfTqUmVD74GgF,Apollodorus Epitome 1.2 Sceiron is son of Poseidon,Apollodorus Epitome 1.2,8188807,,,Sceiron,8188823,is son of,8188649,Poseidon,8188403,,,,,,,,,,no,yes
ngVr3Y475Vho5UrHnVu87Hhk,Apollodorus Epitome 1.2 Sceiron is associated with Corinth,Apollodorus Epitome 1.2,8188807,,,Sceiron,8188823,is associated with,8188805,Corinth,8188812,,,,,,,,,,no,no
ngBx6S677Bxu7AxrtCU00NnE,Apollodorus Epitome 1.2 Sceiron is eponym of Sceironian Cliffs,Apollodorus Epitome 1.2,8188807,,,Sceiron,8188823,is eponym of,8188787,Sceironian Cliffs,8188811,,,,,,,,,,no,no
ngDz6U879CpwoCzLvEM28PpY,Apollodorus Epitome 1.2 The Turtle of Sceiron is associated with Sceiron,Apollodorus Epitome 1.2,8188807,,,The Turtle of Sceiron,8189367,is associated with,8188805,Sceiron,8188823,,,Megarid,8188813,,,,,,no,no
ngEa6V970EUx3DaQwDX39QqV,Apollodorus Epitome 1.3 Theseus kills Cercyon,Apollodorus Epitome 1.3,8188808,,,Theseus,8188822,kills,8188672,Cercyon,8187981,,,Eleusis,8188814,,,,,,no,no
ngFb7W071FLypEbFxEY4rRrE,"Apollodorus Epitome 1.3 Cercyon is son of Argiope, Branchos",Apollodorus Epitome 1.3,8188808,,,Cercyon,8187981,is son of,8188649,Branchos,8187919,,,,,,,,,,no,no
ngFb7W071FLypEbFxEY4rRrE,"Apollodorus Epitome 1.3 Cercyon is son of Argiope, Branchos",Apollodorus Epitome 1.3,8188808,,,Cercyon,8187981,is son of,8188649,Argiope,8187810,,,,,,,,,,no,no
ngGc7X172FMz2FcGyHZ52SsJ,Apollodorus Epitome 1.4 Theseus kills Damastes,Apollodorus Epitome 1.4,8188809,,,Theseus,8188822,kills,8188672,Damastes,8188135,,,,,,,,,,no,no
ngHd7Y273GNa6GdDzIA67TtY,Apollodorus Epitome 1.4 Damastes is called Polypemon,Apollodorus Epitome 1.4,8188809,,,Damastes,8188135,is called,8188695,Polypemon,8189322,,,,,,,,,,yes,no
ngKg7B576JAduJgCcJD96Wwd,Apollodorus Epitome 3.16 Theseus travels,Apollodorus Epitome 3.16,8189374,Apollodorus Epitome 1.4,8188809,Theseus,8188822,travels,8188802,,,,,,,,,,Athens,8188815,no,no
ngUq3B374TAnfTqQmVN76GgP,Apollodorus Epitome 1.5 Medeia is wife of Aigeus,Apollodorus Epitome 1.5,8189376,,,Medeia,8189762,is wife of,8188660,Aigeus,8182072,,,,,,,,,,no,no
ngVr3Y475Vho5UrDnVE89HhU,Apollodorus Epitome 1.5 Theseus is son of Aigeus,Apollodorus Epitome 1.5,8189376,,,Theseus,8188822,is son of,8188649,Aigeus,8182072,,,,,,,,,,no,no
ngWs3Z576Wip9VsEoWv99IiH,Apollodorus Epitome 1.5 Aigeus sends Theseus,Apollodorus Epitome 1.5,8189376,,,Aigeus,8182072,sends,8188798,Theseus,8188822,,,,,,Athens,8188815,,,no,no
ngYu3B778YEr1XuYqYx19KkL,Apollodorus Epitome 1.6 Theseus kills the Marathonian bull,Apollodorus Epitome 1.6,8189936,,,Theseus,8188822,kills,8188672,the Marathonian bull,8189750,,,Marathon,8189938,,,,,,no,no
ngAw3D970Zwt0ZwEsAz39MmV,"Apollodorus Epitome 1.5 Aigeus, Medeia plots against Theseus",Apollodorus Epitome 1.5,8189376,Apollodorus Epitome 1.6,8189936,Aigeus,8182072,plots against,8188744,Theseus,8188822,,,Athens,8188815,,,,,,no,no
ngAw3D970Zwt0ZwEsAz39MmV,"Apollodorus Epitome 1.5 Aigeus, Medeia plots against Theseus",Apollodorus Epitome 1.5,8189376,Apollodorus Epitome 1.6,8189936,Medeia,8189762,plots against,8188744,Theseus,8188822,,,Athens,8188815,,,,,,no,no
ngBx4E071Axu4AxPtBa4kNnu,Apollodorus Epitome 1.6 Theseus expels Medeia,Apollodorus Epitome 1.6,8189936,,,Theseus,8188822,expels,8188735,Medeia,8189762,,,,,,Athens,8188815,,,no,no
ngPl0i273Obi6OlPhQY64BbA,Apollodorus Epitome 1.6 Theseus offers the Sword of Aigeus Aigeus,Apollodorus Epitome 1.6,8189936,,,Theseus,8188822,offers,8188780,the Sword of Aigeus,8190201,Aigeus,8182072,,,,,,,,no,no
ngSo0l576RIl9RoGkSL9dEeR,"Apollodorus Epitome 1.7 Aigeus sends Theseus the Labyrinth, the Minotaur",Apollodorus Epitome 1.7,8190203,,,Aigeus,8182072,sends,8188798,Theseus,8188822,the Labyrinth,8190204,,,,,,,,no,yes
ngSo0l576RIl9RoGkSL9dEeR,"Apollodorus Epitome 1.7 Aigeus sends Theseus the Labyrinth, the Minotaur",Apollodorus Epitome 1.7,8190203,,,Aigeus,8182072,sends,8188798,Theseus,8188822,the Minotaur,8190206,,,,,,,,no,yes
ngWs0l970WMpgVsEoV13iIiN,"Apollodorus Epitome 1.8 Ariadne, Daidalos helps Theseus",Apollodorus Epitome 1.8,8190207,Apollodorus Epitome 1.9,8190208,Ariadne,8187817,helps,8188706,Theseus,8188822,,,the Labyrinth,8190204,,,,,,no,no
ngWs0l970WMpgVsEoV13iIiN,"Apollodorus Epitome 1.8 Ariadne, Daidalos helps Theseus",Apollodorus Epitome 1.8,8190207,Apollodorus Epitome 1.9,8190208,Daidalos,8188128,helps,8188706,Theseus,8188822,,,the Labyrinth,8190204,,,,,,no,no
