ID,Name,"Name (Smith & Trzaskoma)","Name (transliteration)","Name (Latinized)","Name in Latin texts","Alternative names","Identifying information","Type of entity","Type of entity ID","Agent/Coll.: gender","Agent/Coll.: gender ID","Collective (geneal.): children of","Collective (geneal.): children of ID","Collective (geneal.): divine father","Collective (geneal.): divine father ID"
8181999,"Abas (son of Lynceus)",Abas,,,,,"son of Lynceus",Agent,8160370,Male,9494774,,,,
8182000,"Abas (son of Melampous)",Abas,,,,,"son of Melampous",Agent,8160370,Male,9494774,,,,
8182001,"Abderos (boyfriend of Heracles)",Abderos,,,,,"boyfriend of Heracles",Agent,8160370,Male,9494774,,,,
8182002,"Acalle (daughter of Minos)",Acalle,,,,,"daughter of Minos",Agent,8160370,Female,9494773,,,,
8182003,"Acamas (son of Theseus)",Acamas,,,,,"son of Theseus",Agent,8160370,Male,9494774,,,,
8182004,"Acamas (Trojan ally)",Acamas,,,,,"Trojan ally",Agent,8160370,Male,9494774,,,,
8182005,"Acamas (suitor of Penelope)",Acamas,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182006,"Acarnan (son of Alcmaion)",Acarnan,,,,,"son of Alcmaion",Agent,8160370,Male,9494774,,,,
8182007,"Acarnan (suitor of Penelope)",Acarnan,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182008,"Acastos (Argonaut)",Acastos,,,,,Argonaut,Agent,8160370,Male,9494774,,,,
8182009,"Achaios (eponym of the Achaians)",Achaios,,,,,"eponym of the Achaians",Agent,8160370,Male,9494774,,,,
8182010,"Acheloos (river god)",Acheloos,,,,,"river god",Agent,8160370,Male,9494774,,,,
8182011,"Acheron (river god in underworld)",Acheron,,,,,"river god in underworld",Agent,8160370,Male,9494774,,,,
8182012,"Achilles (greatest Greek warrior at Troy)",Achilles,,,,,"greatest Greek warrior at Troy",Agent,8160370,Male,9494774,,,,
8182013,"Acontes (son of Lycaon)",Acontes,,,,,"son of Lycaon",Agent,8160370,Male,9494774,,,,
8182014,"Acrisios (son of Abas, father of Danae)",Acrisios,,,,,"son of Abas, father of Danae",Agent,8160370,Male,9494774,,,,
8182015,"Actaia (Danaid)",Actaia,,,,,Danaid,Agent,8160370,Female,9494773,,,,
8182016,"Actaia (Nereid)",Actaia,,,,,Nereid,Agent,8160370,Female,9494773,,,,
8182017,"Actaion Actaeon (devoured by his own dogs)",Actaion,,,Actaeon,,"devoured by his own dogs",Agent,8160370,Male,9494774,,,,
8182018,"Actaios (father of Telamon)",Actaios,,,,,"father of Telamon",Agent,8160370,Male,9494774,,,,
8182019,"Actaios (father of Agraulis)",Actaios,,,,,"father of Agraulis",Agent,8160370,Male,9494774,,,,
8182020,"Actor (Argonaut)",Actor,,,,,Argonaut,Agent,8160370,Male,9494774,,,,
8182021,"Actor (son of Myrmidon)",Actor,,,,,"son of Myrmidon",Agent,8160370,Male,9494774,,,,
8182022,"Actor (son of Deion)",Actor,,,,,"son of Deion",Agent,8160370,Male,9494774,,,,
8182023,"Actor (father of Eurytos and Cteatos)",Actor,,,,,"father of Eurytos and Cteatos",Agent,8160370,Male,9494774,,,,
8182024,"Actor (father of Menoitios)",Actor,,,,,"father of Menoitios",Agent,8160370,Male,9494774,,,,
8182025,"Adiante (Danaid)",Adiante,,,,,Danaid,Agent,8160370,Female,9494773,,,,
8182026,"Adite (Danaid)",Adite,,,,,Danaid,Agent,8160370,Female,9494773,,,,
8182027,"Admete (daughter of Eurystheus)",Admete,,,,,"daughter of Eurystheus",Agent,8160370,Female,9494773,,,,
8182028,"Admetos (Calydonian boar hunter, Argonaut)",Admetos,,,,,"Calydonian boar hunter, Argonaut",Agent,8160370,Male,9494774,,,,
8182029,"Adonis (son of Smyrna)",Adonis,,,,,"son of Smyrna",Agent,8160370,Male,9494774,,,,
8182030,"Adrasteia (Nurse of Zeus)",Adrasteia,,,,,"Nurse of Zeus",Agent,8160370,Female,9494773,,,,
8182031,"Aello Nicothoe, Aellopous (Harpy)",Aello,,,,"Nicothoe, Aellopous",Harpy,Agent,8160370,Female,9494773,,,,
8182032,"Aerope (daughter of Catreus, wife of Atreus)",Aerope,,,,,"daughter of Catreus, wife of Atreus",Agent,8160370,Female,9494773,,,,
8182033,"Aethalides (Argonaut)",Aethalides,,,,,Argonaut,Agent,8160370,Male,9494774,,,,
8182034,"Aethlios (father of Endymion)",Aethlios,,,,,"father of Endymion",Agent,8160370,Male,9494774,,,,
8182035,"Agamemnon (commander of all Greek forces at Troy)",Agamemnon,,,,,"commander of all Greek forces at Troy",Agent,8160370,Male,9494774,,,,
8182036,"Agapenor (son of Ancaios)",Agapenor,,,,,"son of Ancaios",Agent,8160370,Male,9494774,,,,
8182037,"Agaptolemos (son of Aigyptos)",Agaptolemos,,,,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8182038,"Agasthenes (father of Polyxenos)",Agasthenes,,,,,"father of Polyxenos",Agent,8160370,Male,9494774,,,,
8182039,"Agathon (son of Priam)",Agathon,,,,,"son of Priam",Agent,8160370,Male,9494774,,,,
8182040,"Agaue (daughter of Cadmos)",Agaue,,,,,"daughter of Cadmos",Agent,8160370,Female,9494773,,,,
8182041,"Agaue (Nereid)",Agaue,,,,,Nereid,Agent,8160370,Female,9494773,,,,
8182042,"Agaue (Danaid)",Agaue,,,,,Danaid,Agent,8160370,Female,9494773,,,,
8182043,"Agelaos (son of Heracles)",Agelaos,,,,,"son of Heracles",Agent,8160370,Male,9494774,,,,
8182044,"Agelaos (son of Temenos)",Agelaos,,,,,"son of Temenos",Agent,8160370,Male,9494774,,,,
8182045,"Agelaos (slave of Priam)",Agelaos,,,,,"slave of Priam",Agent,8160370,Male,9494774,,,,
8182046,"Agelaos (suitor of Penelope)",Agelaos,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182047,"Agenor (son of Poseidon, father of Europa)",Agenor,,,,,"son of Poseidon, father of Europa",Agent,8160370,Male,9494774,,,,
8182048,"Agenor (suitor of Penelope)",Agenor,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182049,"Agenor (son of Aigyptos)",Agenor,,,,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8182050,"Agenor (son of Phegeus)",Agenor,,,,,"son of Phegeus",Agent,8160370,Male,9494774,,,,
8182051,"Agenor (son of Pleuron)",Agenor,,,,,"son of Pleuron",Agent,8160370,Male,9494774,,,,
8182052,"Agenor (son of Ecbasos)",Agenor,,,,,"son of Ecbasos",Agent,8160370,Male,9494774,,,,
8182053,"Agenor (son of Niobe)",Agenor,,,,,"son of Niobe",Agent,8160370,Male,9494774,,,,
8182054,"Agerochos (suitor of Penelope)",Agerochos,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182055,"Aglaia (daughter of Thespios)",Aglaia,,,,,"daughter of Thespios",Agent,8160370,Female,9494773,,,,
8182056,"Aglaia (mother of Acrisios and Proitos)",Aglaia,,,,,"mother of Acrisios and Proitos",Agent,8160370,Female,9494773,,,,
8182057,"Aglaia (one of the Charites)",Aglaia,,,,,"one of the Charites",Agent,8160370,Female,9494773,,,,
8182058,"Aglaope (one of the Sirens)",Aglaope,,,,,"one of the Sirens",Agent,8160370,Female,9494773,,,,
8182059,"Aglaos (son of Thyestes)",Aglaos,,,,,"son of Thyestes",Agent,8160370,Male,9494774,,,,
8182060,"Agraulis (daughter of Actaios)",Agraulis,,,,,"daughter of Actaios",Agent,8160370,Female,9494773,,,,
8182061,"Agraulos Agraulus (daughter of Cecrops)",Agraulos,,,Agraulus,,"daughter of Cecrops",Agent,8160370,Female,9494773,,,,
8182062,"Agrios (centaur)",Agrios,,,,,centaur,Agent,8160370,Male,9494774,,,,
8182063,"Agrios (giant)",Agrios,,,,,giant,Agent,8160370,Male,9494774,,,,
8182064,"Agrios (son of Porthaon)",Agrios,,,,,"son of Porthaon",Agent,8160370,Male,9494774,,,,
8182065,"Agrios (suitor of Penelope)",Agrios,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
