ID,gender,name
8190288,undefined,the Arimi()
8189735,male,Macareus (son of Lycaon)
8189734,female,Lytaia (daughter of Hyacinthos)
8189737,male,Machaireus (killer of Neoptolemos)
8189736,male,Macednos (son of Lycaon)
8189731,female,Lysippe (daughter of Priotos)
8189730,male,Lysinomos (son of Electryon)
8189733,male,Lysithoos (son of Priam)
8189732,female,Lysippe (mother of Erasippos by Heracles)
8189739,male,Magnes (father of Pieros)
8189738,male,Machaon (Greek leader at Troy)
8190284,undefined,the Thunderbolt of Zeus()
8189296,male,Polichos (son of Lycaon)
8190250,undefined,the Arcadian contingent at Troy()
8189297,male,Polites (son of Priam)
8190126,male,Thoas (son of Icarios)
8190127,male,Thoas (suitor of Penelope)
8190124,male,Thoas (Greek leader at Troy)
8190125,male,Thoas (son of Dionysos and Ariadne)
8190122,male,Thoas (father of Hypsipyle)
8190123,male,Thoas (king of the Taurians)
8190120,male,Thestios (son of Ares)
8190121,female,Thetis (Nereid)
8190251,undefined,the Epeian contingent at Troy()
8190128,male,Thoas (giant)
8190129,female,Thoosa (nymph)
8190012,female,Sphinx (monster that terrorises Thebes)
8190013,male,Staphylos (Argonaut)
8190010,female,Spermo (daughter of Anios)
8190011,male,Sphincius (son of Athamas)
8190016,male,Proteus (king of Egypt)
8190017,male,Proteus (son of Aigyptos)
8190014,undefined,the Stars Astra (children of Eos and Astraios)
8190015,male,Protesilaos (first Greek killed at Troy)
8190018,male,Proteus (son of Poseidon)
8190019,male,Prothoos (Greek leader at Troy)
8190254,undefined,the Aetolian contingent at Troy()
8188019,female,Chrysothemis (daughter of Agamemnon)
8188018,female,Chrysopeleia (nymph)
8188017,male,Chrysippos (son of Aigyptos)
8188016,male,Chrysippos (illegitimate son of Pelops)
8188015,female,Chrysippe (Danaid)
8188014,male,Chryses (son of Minos)
8188013,male,Chryses (priest of Apollo)
8188012,female,Chryseis (daughter of Chryses)
8188011,male,Chrysaor (son of Poseidon and Medousa)
8188010,male,Chromios (Greek leader at Troy)
8190499,undefined,Areiopagos() 969121823
8190255,undefined,the Cretan contingent at Troy()
8195675,undefined,the Second Armour of Achilles (made by Hephaistos)
8194326,undefined,the Rock of Tantalos()
8189912,female,Oino (daughter of Anios)
8190308,undefined,the Cattle of Amphitryon()
8190309,undefined,the Cattle of Thespios()
8190306,undefined,the Cattle of Electryon()
